Adana,2237940
Ad?yaman,626465
Afyonkarahisar,729483
A?r?,536199
Amasya,337800
Ankara,5639076
Antalya,2511700
Artvin,170875
Ayd?n,1110972
Bal?kesir,1228620
Bilecik,219427
Bingöl,279812
Bitlis,348115
Bolu,316126
Burdur,270796
Bursa,3056120
Çanakkale,542157
Çank?r?,195789
Çorum,530864
Denizli,1037208
Diyarbak?r,1756353
Edirne,413903
Elaz??,591098
Erzincan,234747
Erzurum,762062
Eski?ehir,887475
Gaziantep,2069364
Giresun,448400
Gümü?hane,164521
Hakkari,280991
Hatay,1628894
Isparta,444914
Mersin,1840425
?stanbul,15519267
?zmir,4367251
Kars,285410
Kastamonu,379405
Kayseri,1407409
K?rklareli,361836
K?r?ehir,242938
Kocaeli,1953035
Konya,2232374
Kütahya,579257
Malatya,800165
Manisa,1440611
Kahramanmara?,1154102
Mardin,838778
Mu?la,983142
Mu?,408809
Nev?ehir,303010
Ni?de,362861
Ordu,754198
Rize,343212
Sakarya,1029650
Samsun,1348542
Siirt,330280
Sinop,218243
Sivas,638956
Tekirda?,1055412
Tokat,612747
Trabzon,808974
Tunceli,84660
?anl?urfa,2073614
U?ak,370509
Van,1136757
Yozgat,421200
Zonguldak,596053
Aksaray,416367
Bayburt,84843
Karaman,253279
K?r?kkale,283017
Batman,608659
??rnak,529615
Bart?n,198249
Ardahan,97319
I?d?r,199442
Yalova,270976
Karabük,248458
Kilis,142490
Osmaniye,538759
Düzce,392166
